Year,Score Ranges.Between 200 to 300.Math.Total,Score Ranges.Between 300 to 400.Math.Total,Score Ranges.Between 400 to 500.Math.Total,Score Ranges.Between 500 to 600.Math.Total,Score Ranges.Between 600 to 700.Math.Total,Score Ranges.Between 700 to 800.Math.Total
2005,31482,158603,384442,427543,258623,84105
2006,34785,160284,391137,417016,254743,81764
2007,34970,178903,431744,441491,259373,78068
2008,34456,187203,423575,453329,263313,83695
2009,24323,54260,25662,225557,864714,353583
2010,34818,188008,442215,445686,262484,84278
2011,38884,203644,478574,453245,273742,86243
2012,38976,210350,467650,458980,274663,89910
2013,43760,206511,471520,459418,261725,90241
2014,43643,211540,472227,454718,261516,91404
2015,46807,231473,475908,451164,259205,87980